FrameID,Action,Mouse_position,execution_time
0000000098,Space,"(1605, 544)",1538255482.7072208
0000000099,Space,"(1605, 544)",1538255482.7421272
0000000099,Space,"(1605, 544)",1538255482.753098
0000000099,Space,"(1605, 544)",1538255482.7640688
0000000099,Space,"(1605, 544)",1538255482.7750392
0000000099,Space,"(1605, 544)",1538255482.78601
0000000099,Space,"(1605, 544)",1538255482.7969804
0000000099,Space,"(1605, 544)",1538255482.8079512
0000000099,Space,"(1605, 544)",1538255482.818922
0000000099,Space,"(1605, 544)",1538255482.8298926
0000000099,Space,"(1605, 544)",1538255482.8408632
0000000099,Space,"(1605, 544)",1538255482.851834
0000000100,Space,"(1605, 544)",1538255482.8957167
0000000100,Space,"(1605, 544)",1538255482.9066873
0000000100,Space,"(1605, 544)",1538255482.917658
0000000100,Space,"(1605, 544)",1538255482.9286284
0000000100,Space,"(1605, 544)",1538255482.939599
0000000100,Space,"(1605, 544)",1538255482.9505696
0000000100,Space,"(1605, 544)",1538255482.9615407
0000000100,Space,"(1605, 544)",1538255482.9725113
0000000100,Space,"(1605, 544)",1538255482.9834816
0000000100,Space,"(1605, 544)",1538255482.9944525
0000000100,Space,"(1605, 544)",1538255483.005423
0000000101,Space,"(1605, 544)",1538255483.0488138
0000000101,Space,"(1605, 544)",1538255483.059785
0000000101,Space,"(1605, 544)",1538255483.0707548
0000000101,Space,"(1605, 544)",1538255483.0817256
0000000101,Space,"(1605, 544)",1538255483.0926967
0000000101,Space,"(1605, 544)",1538255483.1036668
0000000101,Space,"(1605, 544)",1538255483.1146379
0000000101,Space,"(1605, 544)",1538255483.1256084
0000000101,Space,"(1605, 544)",1538255483.1360853
0000000101,Space,"(1605, 544)",1538255483.1470568
0000000101,Space,"(1605, 544)",1538255483.1580265
0000000102,Space,"(1605, 544)",1538255483.1939309
0000000102,Space,"(1605, 544)",1538255483.2058985
0000000102,Space,"(1605, 544)",1538255483.2168694
0000000102,Space,"(1605, 544)",1538255483.2278402
0000000102,Space,"(1605, 544)",1538255483.2388105
0000000102,Space,"(1605, 544)",1538255483.249781
0000000102,Space,"(1605, 544)",1538255483.260752
0000000102,Space,"(1605, 544)",1538255483.2717233
0000000102,Space,"(1605, 544)",1538255483.2826931
0000000102,Space,"(1605, 544)",1538255483.293664
0000000102,Space,"(1605, 544)",1538255483.3046348
0000000103,Space,"(1605, 544)",1538255483.3624804
0000000103,Space,"(1605, 544)",1538255483.3734508
0000000103,Space,"(1605, 544)",1538255483.384421
0000000103,Space,"(1605, 544)",1538255483.3953922
0000000103,Space,"(1605, 544)",1538255483.4063628
0000000103,Space,"(1605, 544)",1538255483.4173336
0000000103,Space,"(1605, 544)",1538255483.4283037
0000000103,Space,"(1605, 544)",1538255483.4392745
0000000103,Space,"(1605, 544)",1538255483.4502451
0000000103,Space,"(1605, 544)",1538255483.461216
0000000104,Space,"(1605, 544)",1538255483.4971201
0000000104,Space,"(1605, 544)",1538255483.508091
0000000104,Space,"(1605, 544)",1538255483.519061
0000000104,Space,"(1605, 544)",1538255483.5300322
0000000104,Space,"(1605, 544)",1538255483.5410025
0000000104,Space,"(1605, 544)",1538255483.5519733
0000000104,Space,"(1605, 544)",1538255483.5629437
0000000104,Space,"(1605, 544)",1538255483.5739145
0000000104,Space,"(1605, 544)",1538255483.5848854
